500 games played for each winning rate at level 1
Winning Rate
vs >    7.5.0   7.4.0   7.3.0   7.2.0   7.1.0   7.0.0   6.5.X   6.4.X   6.3.X   6.1.X   6.0.X   Edax    all
7.5.0   -       0.4770  0.5640  0.5780  0.5680  0.5220  0.5810  0.5590  0.6180  0.5850  0.6530  0.6640  0.5790
7.4.0   0.5230  -       0.5240  0.5480  0.5670  0.4880  0.5880  0.5680  0.5750  0.5790  0.6410  0.6870  0.5716
7.3.0   0.4360  0.4760  -       0.4830  0.5010  0.5210  0.5760  0.5480  0.5530  0.5590  0.6370  0.6550  0.5405
7.2.0   0.4220  0.4520  0.5170  -       0.4880  0.4990  0.5630  0.5490  0.5830  0.5430  0.6430  0.6360  0.5359
7.1.0   0.4320  0.4330  0.4990  0.5120  -       0.5030  0.5690  0.5480  0.5860  0.5340  0.6470  0.6600  0.5385
7.0.0   0.4780  0.5120  0.4790  0.5010  0.4970  -       0.4920  0.5860  0.5920  0.5460  0.5730  0.6170  0.5339
6.5.X   0.4190  0.4120  0.4240  0.4370  0.4310  0.5080  -       0.5530  0.5790  0.5350  0.5880  0.6160  0.5002
6.4.X   0.4410  0.4320  0.4520  0.4510  0.4520  0.4140  0.4470  -       0.5230  0.4590  0.5660  0.5590  0.4724
6.3.X   0.3820  0.4250  0.4470  0.4170  0.4140  0.4080  0.4210  0.4770  -       0.4470  0.4820  0.5230  0.4403
6.1.X   0.4150  0.4210  0.4410  0.4570  0.4660  0.4540  0.4650  0.5410  0.5530  -       0.5330  0.5130  0.4781
6.0.X   0.3470  0.3590  0.3630  0.3570  0.3530  0.4270  0.4120  0.4340  0.5180  0.4670  -       0.5110  0.4135
Edax    0.3360  0.3130  0.3450  0.3640  0.3400  0.3830  0.3840  0.4410  0.4770  0.4870  0.4890  -       0.3963
Average Disc Difference
vs >    7.5.0   7.4.0   7.3.0   7.2.0   7.1.0   7.0.0   6.5.X   6.4.X   6.3.X   6.1.X   6.0.X   Edax    all
7.5.0   -       -0.48   +2.71   +3.20   +3.01   +0.83   +5.70   +4.26   +7.63   +6.14   +10.02  +11.08  +4.92
7.4.0   +0.48   -       +0.23   +1.42   +2.30   +0.41   +4.34   +4.81   +4.48   +4.90   +8.96   +11.47  +3.98
7.3.0   -2.71   -0.23   -       -0.93   -0.37   +1.17   +2.65   +2.64   +5.30   +4.43   +9.65   +8.63   +2.75
7.2.0   -3.20   -1.42   +0.93   -       -0.97   -0.37   +2.48   +2.92   +6.27   +3.87   +10.01  +8.27   +2.62
7.1.0   -3.01   -2.30   +0.37   +0.97   -       +0.00   +2.51   +2.92   +6.28   +2.78   +10.24  +8.82   +2.69
7.0.0   -0.83   -0.41   -1.17   +0.37   -0.00   -       +1.11   +5.74   +5.66   +2.07   +5.29   +7.35   +2.29
6.5.X   -5.70   -4.34   -2.65   -2.48   -2.51   -1.11   -       +3.83   +4.76   +1.76   +5.12   +8.68   +0.49
6.4.X   -4.26   -4.81   -2.64   -2.92   -2.92   -5.74   -3.83   -       +2.43   -1.66   +3.88   +3.54   -1.72
6.3.X   -7.63   -4.48   -5.30   -6.27   -6.28   -5.66   -4.76   -2.43   -       -3.83   -0.48   +2.80   -4.03
6.1.X   -6.14   -4.90   -4.43   -3.87   -2.78   -2.07   -1.76   +1.66   +3.83   -       +2.64   +2.03   -1.44
6.0.X   -10.02  -8.96   -9.65   -10.01  -10.24  -5.29   -5.12   -3.88   +0.48   -2.64   -       +2.54   -5.71
Edax    -11.08  -11.47  -8.63   -8.27   -8.82   -7.35   -8.68   -3.54   -2.80   -2.03   -2.54   -       -6.84
