1 240
231.491 COORD_A1, COORD_H1, COORD_H3, COORD_A4, COORD_H4, COORD_B6, COORD_G6, COORD_G7, COORD_E8, COORD_H8
249.959 COORD_A1, COORD_G1, COORD_H1, COORD_F2, COORD_A4, COORD_B7, COORD_D7, COORD_E7, COORD_A8, COORD_B8
262.256 COORD_A1, COORD_B1, COORD_A2, COORD_G3, COORD_G4, COORD_G5, COORD_B6, COORD_G6, COORD_B7, COORD_A8
272.138 COORD_A1, COORD_E1, COORD_F1, COORD_B2, COORD_G3, COORD_D5, COORD_H5, COORD_C8, COORD_F8, COORD_H8
272.982 COORD_A1, COORD_B1, COORD_H1, COORD_C3, COORD_G3, COORD_H3, COORD_A6, COORD_B6, COORD_D6, COORD_A8
273.743 COORD_A1, COORD_D1, COORD_F1, COORD_G1, COORD_H1, COORD_C2, COORD_G2, COORD_E4, COORD_H4, COORD_E7
275.366 COORD_H1, COORD_B2, COORD_A5, COORD_H6, COORD_B7, COORD_G7, COORD_A8, COORD_D8, COORD_E8, COORD_G8
277.046 COORD_A1, COORD_D1, COORD_H1, COORD_E3, COORD_E4, COORD_H4, COORD_H5, COORD_F6, COORD_F8, COORD_H8
279.491 COORD_A1, COORD_F1, COORD_A3, COORD_B3, COORD_G3, COORD_G6, COORD_D8, COORD_F8, COORD_G8, COORD_H8
280.503 COORD_A1, COORD_C1, COORD_D1, COORD_H1, COORD_B2, COORD_A3, COORD_A4, COORD_C6, COORD_H6, COORD_B8
281.038 COORD_H1, COORD_A2, COORD_C3, COORD_B4, COORD_H4, COORD_D5, COORD_A8, COORD_B8, COORD_G8, COORD_H8
283.729 COORD_A1, COORD_E1, COORD_B3, COORD_E5, COORD_G5, COORD_A6, COORD_B7, COORD_D7, COORD_A8, COORD_D8
284.298 COORD_A1, COORD_B1, COORD_F1, COORD_H1, COORD_H4, COORD_E5, COORD_G5, COORD_D6, COORD_F7, COORD_D8
284.341 COORD_B2, COORD_G2, COORD_A4, COORD_B4, COORD_A7, COORD_G7, COORD_H7, COORD_A8, COORD_B8, COORD_H8
