0 166
413.533 1.09742
296.335 COORD_C1, COORD_F2, COORD_D3, COORD_B4, COORD_E4, COORD_F4, COORD_H4, COORD_A5, COORD_A6, COORD_A8
318.712 COORD_D2, COORD_F3, COORD_G3, COORD_H3, COORD_B4, COORD_F5, COORD_G6, COORD_C7, COORD_F7, COORD_H8
343.731 COORD_C1, COORD_F1, COORD_G1, COORD_C2, COORD_A4, COORD_A6, COORD_C6, COORD_A7, COORD_E8, COORD_G8
353.61 COORD_D1, COORD_G3, COORD_D4, COORD_B6, COORD_E6, COORD_F6, COORD_G7, COORD_C8, COORD_D8, COORD_H8
360.394 COORD_A1, COORD_B2, COORD_D2, COORD_B4, COORD_C4, COORD_C5, COORD_G5, COORD_D6, COORD_F8, COORD_H8
389.327 COORD_B1, COORD_F1, COORD_B2, COORD_E3, COORD_D4, COORD_A5, COORD_B5, COORD_G5, COORD_B6, COORD_C7
390.677 COORD_D1, COORD_E1, COORD_C2, COORD_H4, COORD_C5, COORD_H5, COORD_H6, COORD_A7, COORD_A8, COORD_B8
402.738 COORD_C2, COORD_B3, COORD_A4, COORD_B4, COORD_E4, COORD_D5, COORD_F5, COORD_E6, COORD_F6, COORD_B8
412.916 COORD_C1, COORD_D1, COORD_C5, COORD_F5, COORD_G5, COORD_C7, COORD_G7, COORD_H7, COORD_C8, COORD_D8
409.449 COORD_D1, COORD_C3, COORD_B4, COORD_A6, COORD_B6, COORD_A7, COORD_B7, COORD_F7, COORD_G7, COORD_H8
414.531 COORD_A1, COORD_C1, COORD_B2, COORD_A3, COORD_C4, COORD_D5, COORD_H5, COORD_F7, COORD_D8, COORD_G8
429.447 COORD_A2, COORD_C2, COORD_H2, COORD_C3, COORD_E4, COORD_B5, COORD_H5, COORD_C6, COORD_G6, COORD_E7
418.768 1.04161
344.308 COORD_E1, COORD_F1, COORD_D2, COORD_H2, COORD_A3, COORD_F4, COORD_H4, COORD_B5, COORD_A7, COORD_H7
345.913 COORD_A1, COORD_A2, COORD_H2, COORD_A4, COORD_C4, COORD_F4, COORD_H4, COORD_D5, COORD_B6, COORD_C6
349.209 COORD_D1, COORD_H1, COORD_A2, COORD_F2, COORD_G3, COORD_H3, COORD_F4, COORD_E5, COORD_D7, COORD_A8
363.978 COORD_A1, COORD_B1, COORD_D1, COORD_G1, COORD_C3, COORD_G3, COORD_C4, COORD_F4, COORD_H4, COORD_G5
380.981 COORD_G3, COORD_C4, COORD_H4, COORD_D5, COORD_F5, COORD_G5, COORD_C6, COORD_A7, COORD_D7, COORD_H8
413.599 COORD_C1, COORD_B2, COORD_D2, COORD_G2, COORD_F3, COORD_G4, COORD_B6, COORD_E6, COORD_H6, COORD_B7
422.78 COORD_A2, COORD_F2, COORD_G2, COORD_B3, COORD_F3, COORD_H3, COORD_F6, COORD_C7, COORD_F7, COORD_H8
