split,top_n,hits,positions,accuracy
train,1,4370567,6428225,0.6799026169743592
train,2,5558555,6428225,0.8647107094104516
train,3,6031560,6428225,0.9382932302462966
train,5,6339889,6428225,0.9862581039089329
train,10,6427045,6428225,0.9998164345523064
val,1,452114,803528,0.5626611642655888
val,2,613874,803528,0.7639733774056411
val,3,694455,803528,0.8642573749763542
val,5,765521,803528,0.95269984368933
val,10,801807,803528,0.9978581953584692
test,1,452798,803529,0.5635117089737893
test,2,614260,803529,0.7644528075526832
test,3,694512,803529,0.8643272364780861
test,5,765450,803529,0.9526102978237251
test,10,801737,803529,0.9977698378029916
