系列,ラベル,推定Elo,推定Eloの95%信頼区間下限,推定Eloの95%信頼区間上限,1位着手一致率,1位着手一致率の95%信頼区間下限,1位着手一致率の95%信頼区間上限
console,level 1,495.31063238343813,454.6730138351147,549.027142315213,53.27,52.70503574571409,53.83412692348205
console,level 3,832.7120477883767,787.2445241797274,885.7075904474854,59.45333333333334,58.89656888085588,60.00767712305879
console,level 5,1115.686472156599,1079.6189879704186,1157.4402074626107,61.36333333333334,60.81092429443973,61.91283262634486
console,level 7,1352.6114210836458,1314.396467019903,1398.7986312983317,62.35,61.80018957391569,62.89664802992911
console,level 9,1557.0133452930447,1522.7835505851508,1593.5252856606398,62.78333333333334,62.2347404848096,63.32865282443324
console,level 11,1715.624949615188,1675.727423789717,1759.0025886933727,63.31,62.76295031666267,63.85364146529474
console,level 13,1890.6924993466337,1853.9195074449947,1923.8285825914234,62.96333333333334,62.41526005199386,63.50808716564512
console,level 15,1963.788388273133,1923.4489284937133,1996.3188804450526,62.94333333333333,62.39520192088774,63.48815041804052
console,level 17,2026.508345884485,1978.2942335747725,2069.705496573024,62.92,62.37180089486372,63.46489075223543
console,level 19,2147.1728246055354,2087.8872046804127,2195.9776552559824,62.74,62.19128328314265,63.28545445556037
blend,alpha=0.0,2238.9648171704375,2179.368198724032,2294.994042320917,63.39333333333333,62.84653422696916,63.93670288294943
blend,alpha=0.2,1936.139975008538,1886.0055277402466,1983.5876367094731,64.22,63.6757821985983,64.76057656469504
blend,alpha=0.4,1763.4056509496165,1707.1472777543108,1813.740979587273,64.56333333333333,64.02023903145498,65.10269848303835
blend,alpha=0.6,1498.7805670928326,1445.7274709823164,1549.7225216800825,65.14666666666666,64.60555118634693,65.68390362387456
blend,alpha=0.8,1079.0059919248724,1034.933092747277,1125.4562955942158,64.17333333333334,63.62896516433587,64.71407221529923
blend,alpha=1.0,386.58207142362244,326.05871764385046,453.2212892796188,57.14666666666667,56.58580327842574,57.70570004752386
