500 games played for each winning rate at level 1
vs >    7.4.0   7.3.0   7.2.0   7.1.0   7.0.0   6.5.X   6.4.X   6.3.X   6.1.X   6.0.X   Edax    all
7.4.0   -       0.5440  0.5630  0.5620  0.4900  0.5910  0.5670  0.5890  0.5920  0.6450  0.6930  0.5836
7.3.0   0.4560  -       0.4960  0.4920  0.5280  0.5730  0.5530  0.5760  0.5540  0.6490  0.6550  0.5532
7.2.0   0.4370  0.5040  -       0.4950  0.5180  0.5670  0.5360  0.5980  0.5540  0.6420  0.6410  0.5492
7.1.0   0.4380  0.5080  0.5050  -       0.5140  0.5660  0.5500  0.5710  0.5430  0.6440  0.6320  0.5471
7.0.0   0.5100  0.4720  0.4820  0.4860  -       0.4800  0.5690  0.5750  0.5500  0.5840  0.6240  0.5332
6.5.X   0.4090  0.4270  0.4330  0.4340  0.5200  -       0.5530  0.5790  0.5350  0.5880  0.6160  0.5094
6.4.X   0.4330  0.4470  0.4640  0.4500  0.4310  0.4470  -       0.5230  0.4590  0.5660  0.5590  0.4779
6.3.X   0.4110  0.4240  0.4020  0.4290  0.4250  0.4210  0.4770  -       0.4470  0.4820  0.5230  0.4441
6.1.X   0.4080  0.4460  0.4460  0.4570  0.4500  0.4650  0.5410  0.5530  -       0.5330  0.5130  0.4812
6.0.X   0.3550  0.3510  0.3580  0.3560  0.4160  0.4120  0.4340  0.5180  0.4670  -       0.5110  0.4178
Edax    0.3070  0.3450  0.3590  0.3680  0.3760  0.3840  0.4410  0.4770  0.4870  0.4890  -       0.4033
